Commune;Cercle;Secteur;Lieu-dit;Date attaque;Num semaine;Animaux concernés;Victimes constatées;Taille troupeau ou lot;Conclusion expertise_ DDT;Decision indemnisation;Protocole;Num AP tir
VATILIEU;2;Bas Grésivaudan;Charbonnière;14/04/2017;;Ovin;8;40;Loup;Oui;;
VATILIEU;2;Bas Grésivaudan;Charbonnière;16/04/2017;;Ovin;7;40;Loup;Oui;;
VATILIEU;2;Bas Grésivaudan;Charbonnière;17/04/2017;;Ovin;2;40;Loup;Oui;;
VATILIEU;2;Bas Grésivaudan;Charbonnière;04/05/2017;;Ovin;3;40;Loup;Oui;;
VATILIEU;1;Bas Grésivaudan;Charbonnière;17/05/2017;;Ovin;1;5;Loup;Oui;;
LES CÔTES-DE-CORPS;1;Beaumont;les Cros;09/07/2017;;Bovin;3;17;Chien;Non - loup exclu;;
SAINTE-LUCE;1;Beaumont;Chauvet;10/07/2017;;Veau naissant;1;45;Charognard;Non - loup exclu;;
CORPS;1;Beaumont;Gleyzin;25/07/2017;;Bovin;1;6;Chien;Non - loup exclu;;
LE HAUT-BRÉDA;1;Belledonne Centre;le Gleyzin;26/06/2017;;Ovin;1;800;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;le Gleyzin;30/06/2017;;Ovin;1;800;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;le Gleyzin;14/07/2017;;Ovin;2;800;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;la Cantine;17/07/2017;;Ovin;6;881;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;la Belle Etoile;18/07/2017;;Ovin;1;871;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;Les 7 Laux / l'Agnelin;01/08/2017;;Ovin;1;870;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux;05/08/2017;;Ovin;1;869;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;06/08/2017;;Ovin;2;500;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux;14/08/2017;;Ovin;1;868;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux;17/08/2017;;Ovin;1;867;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;19/08/2017;;Ovin;1;565;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;20/08/2017;;Ovin;2;565;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux;20/08/2017;;Ovin;1;866;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;24/08/2017;;Ovin;4;500;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux, la Cantine;30/08/2017;;Ovin;2;865;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;03/09/2017;;Ovin;16;476;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;les 7 Laux;08/09/2017;;Ovin;2;850;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;13/09/2017;;Ovin;4;460;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;16/09/2017;;Ovin;4;500;Loup;En cours d'instruction;;
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Moretel de Mailles;28/04/2017;;Ovin;1;70;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;05/08/2017;;Ovin;1;2058;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Nord;l'Oule;19/08/2017;;Ovin;1;540;Loup;En cours d'instruction;;
ALLEVARD;1;Belledonne Nord;Périoule;28/08/2017;;Ovin;16;2000;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;Montouvard;18/09/2017;;Veau naissant;1;11;Charognard;Non - loup exclu;;
SAINTE-AGNÈS;1;Belledonne Sud;la Ville;20/03/2017;;Ovin;2;7;Loup;Oui;;
SAINTE-AGNÈS;1;Belledonne Sud;la Ville;21/03/2017;;Ovin;1;13;Loup;Oui;;
LES ADRETS;1;Belledonne Sud;Rodesse;13/05/2017;;Ovin;1;231;Loup;Oui;;
VAULNAVEYS-LE-HAUT;1;Belledonne Sud;Chemin de Montgardier;22/07/2017;;Anon naissant;1;8;Loup;Oui;;
REVEL;1;Belledonne Sud;Lac Claret;24/07/2017;;Ovin;1;1110;Loup;Oui;;
REVEL;1;Belledonne Sud;Lac Claret;25/07/2017;;Ovin;2;1110;Loup;Oui;;
THEYS;1;Belledonne Sud;Virage du Facteur;04/08/2017;;Veau naissant;1;12;Consommation post mortem;Non - loup exclu;;
REVEL;1;Belledonne Sud;Colon;07/09/2017;;Ovin;1;1110;Loup;En cours d'instruction;;
ALLEMOND;1;Belledonne Sud;le Mollard;06/10/2017;;Ovin;20;192;Loup;Oui;;
SAINT-MARTIN-D'URIAGE;1;Belledonne Sud;Saint-Martind'Uriage;26/10/2017;;Veau naissant;1;110;Instruction;En cours d'instruction;;
REVEL;1;Belledonne Sud;le Rousset;02/11/2017;;Veau naissant;1;6;Loup;En cours d'instruction;;
SILLANS;HC;Bièvre;la Tamusière;06/10/2017;;Bovin;1;127;Chien;Non - loup exclu;;
PROVEYSIEUX;1;Chartreuse;Col d'Hurtières;16/06/2017;;Bovin;0;40;Loup;Non indemnisable;;
BESSE;1;Emparis;la Valette;30/06/2017;;Ovin;26;1860;Loup;Oui;;
VILLARD-RECULAS;1;Grandes Rousses;Station;29/06/2017;;Ovin;8;1600;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Quirlies;24/07/2017;;Ovin;4;2000;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;les Bruyères;28/07/2017;;Ovin;1;2000;Indéterminé;Non indemnisable;;
VILLARD-RECULAS;1;Grandes Rousses;Petit Prince;26/07/2017;;Ovin;22;1284;Loup;Oui;;
HUEZ;1;Grandes Rousses;Cabane du Poutta;15/08/2017;;Ovin;5;2000;Loup;Oui;;
AURIS;1;Grandes Rousses;Signal de l'Homme;21/08/2017;;Ovin;2;2500;Loup;Oui;;
AURIS;1;Grandes Rousses;Cluy;02/09/2017;;Ovin;6;2500;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Quirlies/Perron;05/09/2017;;Ovin;1;2000;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Clavans;09/09/2017;;Ovin;6;2000;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Bruyères;16/09/2017;;Ovin;3;1900;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Combe de Sarenne;18/09/2017;;Ovin;4;1800;Loup;Oui;;
HUEZ;1;Grandes Rousses;Pierres Rondes;18/09/2017;;Ovin;1;1311;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Pont Ferrand;19/09/2017;;Ovin;1;1900;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;le Perron;24/09/2017;;Ovin;7;1800;Loup;Oui;;
AURIS;1;Grandes Rousses;la Sitrière;25/09/2017;;Ovin;1;2392;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;les Sauvages;27/09/2017;;Ovin;2;1900;Loup;En cours d'instruction;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane des Bruyères;25/09/2017;;Ovin;2;1500;Indéterminé;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane des Bruyères;28/09/2017;;Ovin;1;1500;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane des Bruyères;06/10/2017;;Ovin;3;1200;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;;08/10/2017;;Ovin;1;1200;Loup;En cours d'instruction;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Cabane des Bruyères;12/10/2017;;Ovin;1;1200;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Col de Sarenne;16/10/2017;;Ovin;1;170;Loup;Oui;;
LE FRENEY-D'OISANS;1;Grandes Rousses;Perchon;21/10/2017;;Ovin;1;1525;Loup;En cours d'instruction;;
AURIS;1;Grandes Rousses;Perchon;23/10/2017;;Ovin;1;1525;Loup;En cours d'instruction;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Vallon des Etançons;29/08/2017;;Ovin;1;500;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Vallon de la Selle;10/09/2017;;Ovin;1;683;Loup;Oui;;
CHANTEPÉRIER;1;Valjouffrey;Cabane Verte;28/06/2017;;Ovin;1;1162;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Ramu;08/07/2017;;Ovin;2;964;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Ramu;03/08/2017;;Ovin;1;960;Loup;Oui;;
VILLARD-REYMOND;1;Valjouffrey;Pré Gentil;12/05/2017;;Ovin;1;1100;Loup;Oui;;
VILLARD-REYMOND;1;Valjouffrey;Petit Renaud;19/08/2017;;Ovin;2;936;Loup;Oui;;
VILLARD-REYMOND;1;Valjouffrey;Petit Renaud;29/08/2017;;Ovin;1;934;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Coin Charnier;03/09/2017;;Ovin;9;684;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Ramu;13/09/2017;;Ovin;6;474;Loup;Oui;;
CHANTEPÉRIER;1;Valjouffrey;les Charmettes;16/09/2017;;Ovin;2;1162;Loup;Oui;;
VILLARD-REYMOND;1;Valjouffrey;Petit Renaud;19/09/2017;;Ovin;1;933;Loup;En cours d'instruction;;
VALJOUFFREY;1;Valjouffrey;Ramu;21/09/2017;;Ovin;2;174;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Ramu;26/09/2017;;Ovin;3;473;Loup;En cours d'instruction;;
VALJOUFFREY;1;Valjouffrey;Côte Belle;09/10/2017;;Ovin;1;766;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Côte Belle;13/10/2017;;Ovin;1;765;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Côte Belle;16/10/2017;;Ovin;8;764;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Valsenestre;19/10/2017;;Ovin;1;304;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Désert en Valjouffrey;26/10/2017;;Caprin;1;52;Loup;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Chemin du Buis;03/05/2017;;Ovin;4;378;Loup;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Chemin du Buis;20/05/2017;;Ovin;4;70;Loup;Oui;;
CHÂTEL-EN-TRIÈVES;1;Obiou - Plateau d'Ambel;Prapiney;17/07/2017;;Veau;1;20;Loup;Oui;;
CHÂTEL-EN-TRIÈVES;1;Obiou - Plateau d'Ambel;Bachilianne;15/07/2017;;Bovin;1;68;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;Vallon de l'Obiou;22/07/2017;;Caprin;2;450;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;la Croix de Pigne;04/09/2017;;Ovin;1;77;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;les Moras;11/09/2017;;Ovin;13;39;Loup;Oui;;
SAINT-JULIEN-DE-L'HERMS;HC;Plateau de Bonnevaux;Colombière;19/09/2017;;Veau naissant;1;12;Charognard;Non - loup exclu;;
CHATTE;HC;Royans;Pré Chatel;01/03/2017;;Ovin;1;2;Grand canidé;Non - loup exclu;;
SAINT-ROMANS;2;Royans;Blache Carré;09/05/2017;;Ovin;1;125;Petit canidé;Non - loup exclu;;
SAINT-AREY;HC;Senepy;Prélenfrey;29/03/2017;;Ovin;5;51;Loup;Oui;;
PRUNIÈRES;HC;Senepy;Sénépi;04/10/2017;;Veau;1;119;Loup exclu;Non - loup exclu;;
SUSVILLE;HC;Senepy;les Moulins;14/10/2017;;Veau naissant;1;13;Loup;Oui;;
LA MURE;HC;Senepy;les Rovouliers;27/10/2017;;Veau;1;8;Loup;En cours d'instruction;;
ORNON;1;Taillefer;le Clot de l'Homme;30/05/2017;;Ovin;9;460;Loup;Oui;;
ORNON;1;Taillefer;Grenonière;31/05/2017;;Ovin;1;756;Loup;Oui;;
LA VALETTE;1;Taillefer;Serge Feu;01/06/2017;;Ovin;1;;Loup exclu;Non - loup exclu;;
LIVET-ET-GAVET;1;Taillefer;l'Usine d'incinération;05/06/2017;;Ovin;6;150;Loup;Oui;;
ORNON;1;Taillefer;les Clots;05/06/2017;;Ovin;1;91;Loup;Oui;;
ORNON;1;Taillefer;Grenonière;06/06/2017;;Ovin;1;1;Loup;Oui;;
ORNON;1;Taillefer;le Pouillard;09/06/2017;;Ovin;1;1570;Loup;Oui;;
LAVALDENS;1;Taillefer;la Gorge;12/06/2017;;Ovin;3;76;Loup;Oui;;
LAVALDENS;1;Taillefer;Fontanieu;05/07/2017;;Ovin;1;130;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Taillefer;Grand Serre;05/07/2017;;Ovin;1;2090;Loup;Oui;;
OULLES;1;Taillefer;Grand Galbert;22/07/2017;;Ovin;1;1600;Loup;Oui;;
ORNON;1;Taillefer;Côte Belle;01/08/2017;;Ovin;1;900;Loup;Oui;;
ORIS-EN-RATTIER;1;Taillefer;Coirod;02/09/2017;;Ovin;7;1513;Loup;Oui;;
OULLES;1;Taillefer;Grand Galbert;13/09/2017;;Ovin;1;1600;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Taillefer;Bergerie les Cloutons;15/09/2017;;Ovin;18;1979;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Taillefer;les Vernes;17/09/2017;;Veau naissant;2;4;Indéterminé;Non indemnisable;;
ORIS-EN-RATTIER;1;Taillefer;Coirod;19/09/2017;;Ovin;1;1513;Loup;Oui;;
ORIS-EN-RATTIER;1;Taillefer;Coirod;27/09/2017;;Ovin;2;1513;Loup;Oui;;
LA MORTE;1;Taillefer;les Bergeries;03/10/2017;;Ovin;1;83;Loup;Oui;;
ORNON;1;Taillefer;Village;15/10/2017;;Ovin;1;107;Loup;Oui;;
ORNON;1;Taillefer;Grenonière;19/10/2017;;Ovin;2;735;Loup;Oui;;
ORNON;1;Taillefer;Pont de l'Homme;23/10/2017;;Ovin;1;530;Loup;Oui;;
ORNON;1;Taillefer;la Lauze;28/10/2017;;Ovin;6;580;Loup;Oui;;
LE MONESTIER-DU-PERCY;1;Trièves Sud;les Adrets;23/03/2017;;Ovin;23;51;Loup;Oui;;
CLELLES;1;Trièves Sud;Parrassat;20/05/2017;;Ovin;12;79;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud;l'Eglise;22/05/2017;;Ovin;2;322;Loup;Oui;;
PERCY;1;Trièves Sud;le Cerisier;01/06/2017;;Veau;1;26;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud;Ruthière;22/06/2017;;Ovin;1;213;Indéterminé;Non indemnisable;;
CHICHILIANNE;1;Trièves Sud;Platary;27/06/2017;;Ovin;2;906;Loup;Oui;;
PERCY;1;Trièves Sud;Chabulière;21/07/2017;;Ovin;6;40;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud;Platary;05/08/2017;;Ovin;1;906;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud;Platary;11/08/2017;;Ovin;1;900;Loup;Oui;;
CLELLES;1;Trièves Sud;Parrassat;16/08/2017;;Ovin;4;224;Loup;En cours d'instruction;;
CLELLES;1;Trièves Sud;Parrassat;17/08/2017;;Ovin;15;219;Loup;En cours d'instruction;;
PERCY;1;Trièves Sud;Jarret;26/08/2017;;Ovin;4;10;Loup;Oui;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;l'Archat;03/09/2017;;Ovin;3;794;Loup;Oui;;
MENS;1;Trièves Sud;les Plantas;04/09/2017;;Ovin;12;400;Loup;Oui;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;l'Archat;06/09/2017;;Caprin;1;794;Loup;Oui;;
SAINT-BAUDILLE-ET-PIPET;1;Trièves Sud;la Chapelle;08/09/2017;;Bovin;1;4;Charognard;Non - loup exclu;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;l'Archat;09/09/2017;;Ovin;1;793;Loup;Oui;;
SAINT-MARTIN-DE-CLELLES;1;Trièves Sud;les Vorsys;22/09/2017;;Bovin;1;115;Charognard;Non - loup exclu;;
ROISSARD;1;Trièves Centre Nord;les Fauries;02/07/2017;;Ovin;3;200;Loup;Oui;;
AVIGNONET;2;Trièves Centre Nord;les Cattiers;08/08/2017;;Ovin;4;16;Loup;Oui;;
SINARD;2;Trièves Centre Nord;la Motte;09/08/2017;;Ovin;4;295;Loup;Oui;;
AVIGNONET;2;Trièves Centre Nord;Mageline;12/08/2017;;Ovin;2;88;Loup;Oui;;
SAINT-MICHEL-LES-PORTES;1;Trièves Centre Nord;le Vicaire;14/08/2017;;Ovin;1;170;Loup;Oui;;
SINARD;2;Trièves Centre Nord;la Motte;14/08/2017;;Ovin;7;263;Loup;Oui;;
SINARD;2;Trièves Centre Nord;la Motte;20/08/2017;;Ovin;3;256;Loup;Oui;;
SAINT-MARTIN-DE-LA-CLUZE;2;Trièves Centre Nord;les Vaux;22/08/2017;;Ovin;1;81;Loup;Oui;;
SAINT-MICHEL-LES-PORTES;1;Trièves Centre Nord;le Vicaire;25/08/2017;;Ovin;6;169;Loup;Oui;;
LAVARS;2;Trièves Centre Nord;les Courroux;26/08/2017;;Ovin;4;40;Loup;Oui;;
LAVARS;2;Trièves Centre Nord;les Courroux;27/08/2017;;Ovin;4;40;Loup;Oui;;
LAVARS;2;Trièves Centre Nord;Village;03/09/2017;;Ovin;9;229;Loup;Oui;;
SINARD;2;Trièves Centre Nord;la Motte;04/09/2017;;Ovin;1;263;Loup;Oui;;
ROISSARD;2;Trièves Centre Nord;Rif de Pierre Grosse;09/09/2017;;Ovin;1;150;Loup;Oui;;
LAVARS;2;Trièves Centre Nord;les Courroux;13/09/2017;;Ovin;2;39;Loup;Oui;;
ROISSARD;2;Trièves Centre Nord;les Combes;03/10/2017;;Ovin;1;168;Loup;Oui;;
SAINT-GEORGES-DE-COMMIERS;2;Trièves Centre Nord;Saint-Pierre;02/10/2017;;Ovin;1;43;Loup;Oui;;
LAVARS;2;Trièves Centre Nord;les Courroux;31/10/2017;;Ovin;9;;Loup;En cours d'instruction;;
CHÂBONS;HC;Valdaine;le Lac;28/04/2017;;Veau naissant;1;16;Charognard;Non - loup exclu;;
PRESLES;1;Vercors Nord;le Faz;30/01/2017;;Ovin;8;65;Loup;Oui;;
MONTAUD;1;Vercors Nord;la Guillaudière;01/03/2017;;Ovin;1;9;Loup;Oui;;
MONTAUD;1;Vercors Nord;;12/06/2017;;Ovin;1;32;Indéterminé;Non indemnisable;;
MONTAUD;1;Vercors Nord;les Etroits;02/08/2017;;Ovin;3;30;Loup;Oui;;
PRESLES;1;Vercors Nord;les Noviaux;06/08/2017;;Ovin;3;107;Loup;Oui;;
AUTRANS-MÉAUDRE EN VERCORS;1;Vercors Nord;le Cornet;04/07/2017;;Veau naissant;1;6;Loup;Oui;;
ENGINS;1;Vercors Nord;Sornin;12/08/2017;;Ovin;1;1900;Loup;En cours d'instruction;;
ENGINS;1;Vercors Nord;Sornin;06/09/2017;;Ovin;2;1900;Loup;Oui;;
ENGINS;1;Vercors Nord;Sornin;13/09/2017;;Ovin;2;1013;Loup;Oui;;
SAINT-PIERRE-DE-CHÉRENNES;1;Vercors Nord;l'Allevaux;15/09/2017;;Ovin;7;38;Loup;Oui;;
MALLEVAL-EN-VERCORS;1;Vercors Nord;Gonthier;16/09/2017;;Bovin;1;20;Loup;En cours d'instruction;;
ENGINS;1;Vercors Nord;Sornin;18/09/2017;;Ovin;4;1013;Loup;Oui;;
AUTRANS-MÉAUDRE EN VERCORS;1;Vercors Nord;les Gonnets;21/09/2017;;Veau naissant;1;8;Loup;Oui;;
SEYSSINET-PARISET;2;Bas Drac;Le Bevoux;26/05/2017;;Ovin;9;870;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;la Martinière;01/06/2017;;Bovin;1;28;Aucun;Non - loup exclu;;
CORRENÇON-EN-VERCORS;1;Vercors 4 Montagnes;Combovieu;01/08/2017;;Ovin;10;252;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;05/08/2017;;Ovin;4;28;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;07/08/2017;;Ovin;1;1;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;09/08/2017;;Ovin;2;2;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Col de l'Arc;13/08/2017;;Ovin;1;1;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;14/08/2017;;Ovin;6;6;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;16/08/2017;;Ovin;4;540;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Montagne de Lans;19/08/2017;;Ovin;1;1;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Montagne de Lans;25/08/2017;;Ovin;3;1240;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;26/08/2017;;Ovin;1;434;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;27/08/2017;;Ovin;2;433;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;30/08/2017;;Ovin;2;431;Loup;Oui;;
VILLARD-DE-LANS;1;Vercors 4 Montagnes;Cornafion;04/09/2017;;Ovin;3;429;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Pic Saint-Michel;13/09/2017;;Ovin;1;1240;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Pic Saint-Michel;14/09/2017;;Ovin;1;1240;Loup;En cours d'instruction;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Verduret;11/09/2017;;Bovin;3;29;Loup;Oui;;
LANS-EN-VERCORS;1;Vercors 4 Montagnes;Col de l'Arc;18/10/2017;;Ovin;15;640;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Grande Cabane;28/06/2017;;Ovin;1;2200;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Plautret;29/06/2017;;Ovin;0;1235;Indéterminé;Non indemnisable;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Combe Mâle;01/07/2017;;Ovin;1;1080;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Bachassons;03/07/2017;;Ovin;1;1235;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Grande Cabane;15/07/2017;;Ovin;1;1700;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Chamousset;25/07/2017;;Ovin;1;2265;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Pré Peyret;27/07/2017;;Ovin;2;1100;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Grande Cabane;08/08/2017;;Ovin;1;2566;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Plautret;13/08/2017;;Ovin;1;1237;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;27/08/2017;;Ovin;5;1700;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Chamousset;01/09/2017;;Ovin;1;2265;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;02/09/2017;;Ovin;1;1700;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Grande Cabane;03/09/2017;;Ovin;2;2216;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Jas Neuf;11/09/2017;;Ovin;5;1400;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Chau;13/09/2017;;Ovin;1;1417;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Jas Neuf;24/09/2017;;Ovin;4;30;Loup;Oui;;
SAINT-GUILLAUME;1;Vercors Balcons Est;Grisail;21/05/2017;;Ovin;3;65;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Balcons Est;Serpaton;08/06/2017;;Veau;1;115;Loup;Oui;;
CHÂTEAU-BERNARD;1;Vercors Balcons Est;Col de l'Arzelier;27/07/2017;;Veau naissant;1;14;Loup;Oui;;
VARCES-ALLIÈRES-ET-RISSET;2;Vercors Balcons Est;Saint-Ange;02/08/2017;;Bovin;1;23;Loup;Non indemnisable;;
SAINT-ANDÉOL;1;Vercors Balcons Est;Bourg Menu;10/08/2017;;Ovin;6;74;Loup;Oui;;
ROISSARD;2;Vercors Balcons Est;Rif de Pierre Grosse;28/08/2017;;Ovin;7;800;Loup;Oui;;
SAINT-MARTIN-DE-LA-CLUZE;2;Vercors Balcons Est;les Vaux;30/08/2017;;Ovin;2;80;Loup;Oui;;
CHÂTEAU-BERNARD;1;Vercors Balcons Est;l'Araignée;19/09/2017;;Ovin;5;14;Loup;Oui;;
LE GUA;1;Vercors Balcons Est;Réveilleyre;14/10/2017;;Ovin;2;3;Loup;Oui;;
MONESTIER-DE-CLERMONT;1;Vercors Balcons Est;la Sance;18/10/2017;;Veau;1;8;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Balcons Est;Preson;24/10/2017;;Veau;1;;Loup;En cours d'instruction;;
MONESTIER-DE-CLERMONT;1;Vercors Balcons Est;Ponsonanche;27/10/2017;;Ovin;3;0;Loup;En cours d'instruction;;
COUBLEVIE;2;Bas Grésivaudan;la Buisse;18/05/2018;;Veau naissant;1;4;Canidé;Oui;;
SAINT-MICHEL-EN-BEAUMONT;1;Beaumont;le Rochanier;24/11/2018;;Bovin;1;0;Charognard;Non - loup exclu;;
LES CÔTES-DE-CORPS;1;Beaumont;l'Echaillon;21/11/2018;;Ovin;7;4;Loup;Oui;;
SAINT-MICHEL-EN-BEAUMONT;1;Beaumont;le Cercle;09/11/2018;;Ovin;1;4;Indéterminé;Oui;;
LA SALETTE-FALLAVAUX;1;Beaumont;La Pale;17/09/2018;;Ovin;1;0;Loup;Oui;;
LA SALETTE-FALLAVAUX;1;Beaumont;La Pale;05/09/2018;;Ovin;2;4;Loup;Oui;;
LA SALETTE-FALLAVAUX;1;Beaumont;Col de l'Homme;10/08/2018;;Ovin;2;0;Loup;Oui;;
LA SALETTE-FALLAVAUX;1;Beaumont;Col de l'Homme;01/07/2018;;Ovin;1;0;Loup;Oui;;
QUET-EN-BEAUMONT;1;Beaumont;le Routard;09/02/2018;;Equin;1;0;Charognard;Non - loup exclu;;
ALLEMOND;1;Belledonne Centre;Rivier d'Allemond;05/11/2018;;Ovin;1;1;Charognard;Non - loup exclu;;
LE HAUT-BRÉDA;1;Belledonne Centre;la Fanges - le Pleynet;10/10/2018;;Veau naissant;1;6;Loup;Oui;;
LAVAL-EN-BELLEDONNE;1;Belledonne Centre;Jas du Lièvre;24/09/2018;;Ovin;2;0;Loup;Oui;;
