Année;Département;Nb_dosiers;Nb_animaux_tués
2022;Haute-Loire;8;98
2022;Haute-Marne;11;22
2022;Haute-Saône;0;0
2022;Haute-Savoie;152;400
2022;Haute-Vienne;6;23
2022;Hautes-Alpes;206;643
2022;Hautes-Pyrénées;62;182
2022;Hérault;14;30
2022;Indre;0;0
2022;Isère;182;661
2022;Jura;9;18
2022;Loire;0;0
2022;Lot;23;101
2022;Lozère;45;297
2022;Marne;0;0
2022;Meurthe-et-Moselle;1;2
2022;Meuse;15;35
2022;Moselle;2;2
2022;Nièvre;6;21
2022;Oise;1;1
2022;Pyrénées-Atlantiques;26;97
2022;Pyrénées-Orientales;10;24
2022;Rhône;0;0
2022;Saône-et-Loire;15;115
2022;Savoie;317;914
2022;Seine-Maritime;38;72
2022;Somme;4;14
2022;Tarn;28;60
2022;Var;198;615
2022;Vaucluse;26;93
2022;Vendée;0;0
2022;Vosges;5;8
2022;Yonne;3;3
